iata_code,airline,country/region,comments
NZ,Air New Zealand,New Zealand,"""NZ"" used byNew Zealand National Airways Corporationuntil its merger with Air New Zealand in 1978""TE"" used byTEALfrom 1940-1965, then Air New Zealand from 1965-1990"
4N,Air North Charter- Canada,Canada,
YP,Air Premia,South Korea,
BM,Air Sicilia,Italy,defunct
ZX,Air BC,Canada,Merged intoAir Canada Jazz
G8,Air Service Gabon,Gabon,defunct
7T,Air Glaciers,Switzerland,
6V,Air Vegas,United States,defunct
NH,All Nippon Airways,Japan,
TZ,air-taxi Europe,Germany,
2Q,Air Cargo Carriers,United States,
V7,Air Senegal International,Senegal,defunct
AB,Air Berlin,Germany,defunct
4D,Air Sinai,Egypt,
QN,Air Armenia,Armenia,
AI,Air IndiaLimited,India,
PJ,Air Saint Pierre,France,
SZ,Air Southwest,United Kingdom,defunct
8C,Air Transport International,United States,
NF,Air Vanuatu,Vanuatu,
ZB,Air Bourbon,Reunion,defunct
CC,Air Atlanta Icelandic,Iceland,
RB,Air Srpska,Bosnia and Herzegovina,defunct
TN,Air Tahiti Nui,France,
SW,Air Namibia,Namibia,defunct
AW,Africa World Airlines,Ghana,
PE,Air Europe Italy,Italy,defunct
JM,Air Jamaica,Jamaica,merged intoCaribbean Airlines; ICAO and IATA codes no longer used.
6G,Air Wales,United Kingdom,"defunct, ICAO code no longer allocated"
TX,Air Caraïbes,France,
IX,Air India Express,India,
BT,Air Baltic,Latvia,
EL,Air Nippon,Japan,"merged intoAll Nippon Airways, ICAO code no longer allocated"
YW,Air Nostrum,Spain,
PX,Air Niugini,Papua New Guinea,
G9,Air Arabia,United Arab Emirates,
AC,Air Canada,Canada,
AP,AlbaStar,Spain,
E9,Air Memphis,Egypt,defunct
XT,Air Exel,Netherlands,defunct
UM,Air Zimbabwe,Zimbabwe,
S2,Air Sahara,India,renamed to Jetlite
TC,Air Tanzania,Tanzania,
2J,Air Burkina,Burkina Faso,
KM,Air Malta,Malta,
YT,Air Togo,Togo,defunct
G4,Allegiant Air,United States,
O4,Antrak Air,Ghana,
GB,Airborne Express,United States,"August 14, 2003 merged into DHL"
8T,Air Tindi,Canada,
3L,Air Arabia Abu Dhabi,United Arab Emirates,
EM*,Aero Benin,Benin,defunct
KD,Air Enterprise,France,defunct
AX,AmericanConnection[8],United States,defunct
AN,Ansett Australia,Australia,defunct
5W,Astraeus,United Kingdom,"defunct, ICAO code no longer allocated"
VV,Aerosvit Airlines,Ukraine,defunct
WK,American Falcon,Argentina,defunct
QQ,Alliance Airlines,Australia,
FG,Ariana Afghan Airlines,Afghanistan,
RV*,Africaone,The Gambia,
Y2,Alliance Air,Uganda,Ceased operations 08/10/2000
5Z,Airfreight Express,United Kingdom,Ceased operations 08/03/2002
5D,Aeroméxico Connect,Mexico,
1A,Amadeus IT Group,Spain,
JJ,Aviogenex,Serbia,defunct
PL,Aeroperú,Peru,defunct
8A,Atlas Blue,Morocco,defunct
GD,Air Alpha Greenland,Denmark,sold toAir Greenland
HT,Aeromist-Kharkiv,Ukraine,defunct
J2,Azerbaijan Airlines,Azerbaijan,
U3,Avies,Estonia,
4Y,Airbus Industrie,France,
KJ,Air Incheon,South Korea,
RS,Air Seoul,South Korea,
5A,Alpine Air Express,United States,
ED*,Airblue,Pakistan,
W4,Aero Services Executive,France,
IZ,Arkia Israel Airlines,Israel,
M6,Amerijet International,United States,
4A,Air Kiribati,Kiribati,
EV,Atlantic Southeast Airlines,United States,Merged intoExpressJet Airlines
HP,America West Airlines,United States,Merged withUS Airways
6R,Aerotransporte de Carga Union,Mexico,
VH,Aeropostal Alas de Venezuela,Venezuela,
DP,Air 2000,United Kingdom,defunct
TZ,ATA Airlines,United States,defunct
YJ,AMC Airlines,Egypt,Aircraft Maintenance Company
AM,Aeroméxico,Mexico,
TL,Airnorth,Australia,
OY,Andes Líneas Aéreas,Argentina,
IW,AOM French Airlines,France,defunct
J6,AVCOM,Russia,
2D,Aero VIP,Argentina,defunct
VB,Aeroenlaces Nacionales,Mexico,Former ICAO code: AEN
OE,Asia Overnight Express,Philippines,
GV,Aero Flight,Germany,defunct
JW,Arrow Air,United States,defunct
2B,Albawings,Albania,
4C,"Aires, Aerovías de Integración Regional, S.A.",Colombia,renamed to LAN Colombia
AR,Aerolíneas Argentinas,Argentina,
AS,"Alaska Airlines, Inc.",United States,
PL,Airstars,Russia,defunct
OB,Astrakhan Airlines,Russia,defunct
HC,Aero-Tropics Air Services,Australia,defunct
FO,Airlines of Tasmania,Australia,
OS,Austrian Airlines,Austria,
IQ,Augsburg Airways,Germany,defunct
RU,AirBridge Cargo,Russia,Former IATA: BO
GR,Aurigny Air Services,United Kingdom,
NO,Aus-Air,Australia,defunct
AU,Austral Líneas Aéreas,Argentina,
K8,Airlink Zambia,Zambia,Zambia Skyways Limited
4Y,Airbus Transport International,France,
B9,Air Bangladesh,Bangladesh,defunct
AK,AirAsia,Malaysia,ICAO code no longer allocated
D7,AirAsia X,Malaysia,
DJ,AirAsia Japan,Japan,defunct
I5,AirAsia India,India,Founded 28. Mar 2013
6V,Axis Airways,France,defunct
EX,Atlantic Airlines,United States,
3G,Atlant-Soyuz Airlines,Russia,defunct
AZ,Alitalia,Italy,defunct
ZE,Arcus-Air Logistic,Germany,
A2,Astra Airlines,Greece,
R7,Aserca Airlines,Venezuela,
RX,Aviaexpress,Hungary,defunct
MQ,American Eagle Airlines,United States,"RenamedEnvoy Air, ICAO Code and Callsign withdrawn in 2014"
ZS,Azzurra Air,Italy,defunct
FF,Airshop,Netherlands,
ML,African Transport Trading and Investment Company,Sudan,
WI,Aero Air,United States,
VU,Air Ivoire,Ivory Coast,defunct
BP,Air Botswana,Botswana,
GS,Air Foyle,United Kingdom,"defunct, ICAO code no longer allocated"
VT,Air Tahiti,French Polynesia,
3N,Air Urga,Ukraine,
VL,Air VIA,Bulgaria,
FK,Africa West,Togo,
G2,Avirex,Gabon,
V8,ATRAN Cargo Airlines,Russian Federation,
K6,Angkor Air,Cambodia,
CA,Air China,China,
Q6,Aero Condor Peru,Peru,
5F,Arctic Circle Air Service,United States,defunct 2011
QC,Air Corridor,Mozambique,defunct
NV,Air Central,Japan,Ceased operations 2010
CV,Air Chathams,New Zealand,
CW,Air Marshall Islands,Marshall Islands,
AH,Air Algérie,Algeria,
ER,Astar Air Cargo,United States,"defunct, DHL"
EN,Air Dolomiti,Italy,
NM,Air Madrid,Spain,defunct
6R,Alrosa Air Company,Russia,
EE,Aero Airlines,Estonia,defunct
4F,Air City,Germany,
E8,Alpi Eagles,Italy,"defunct, ICAO code no longer allocated"
RF,Aero K,South Korea,established in May 2016; commenced operations on 15 April 2021
KY,Air São Tomé and Príncipe,São Tomé and Príncipe,defunct
E2/E6,Eurowings Europe,Austria,
PC,Air Fiji,Fiji,defunct
JH,Fuji Dream Airlines,Japan,
OF,Air Finland,Finland,
FJ,Fiji Airways,Fiji,
RC,Atlantic Airways,Faroe Islands,
QH,Aero Leasing,United States,dba Air Florida
NY,Air Iceland,Iceland,
2P,Air Philippines,Philippines,
ZX,Air Georgian,Canada,
2U,Air Guinee Express,Guinea,
0A,Amber Air,Lithuania,
DA,Air Georgia,Georgia,
LL,Allegro,Mexico,defunct (IATA code reallocated)
5Y,Atlas Air,United States,
GG,Air Guyane,French Guiana,
H9,Air d'Ayiti,Haiti,
GG,Air Comores International,Comoros,
HD,Air Holland,Netherlands,defunct
8C,Air Horizon,Togo,
W9,Air Bagan,Myanmar,
IP,Atyrau Air Ways,Kazakhstan,
QK,Air Canada Jazz,Canada,
KK,Atlasjet,Turkey,
JS,Air Koryo,Democratic People's Republic of Korea,
KC,Air Astana,Kazakhstan,
LV,Albanian Airlines,Albania,
3S,Aerologic,Germany,
QP,Akasa Air,India,
H7,Air Alfa,Turkey,
D4,Alidaunia,Italy,
9I,Air India Regional,India,
XL,Aerolane,Ecuador,Líneas Aéreas Nacionales Del Ecuador
4Z,Airlink,South Africa,
FL,Air Leap,Sweden,[12]
A6,Air Alps Aviation,Austria,
TD,Atlantis European Airways,Armenia,defunct
L8,Air Luxor GB,Guinea-Bissau,
LK,Air Luxor,Portugal,ICAO code no longer allocated
MK,Air Mauritius,Mauritius,
MD,Air Madagascar,Madagascar,
9U,Air Moldova,Moldova,
L9,Air Mali,Mali,defunct
A7,Air Plus Comet,Spain,
QO,Aeromexpress,Mexico,
MR,Air Mauritanie,Mauritania,
2V*,Amtrak,United States,Train services only
F4,Albarka Air,Nigeria,
AJ,Aero Contractors,Nigeria,
8Y,Air Burundi,Burundi,
OT,Aeropelican Air Services,Australia,
AD,Air Paradise International,Indonesia,Defunct 2005
QD,Air Class Líneas Aéreas,Uruguay,
QS,African Safari Airways,Kenya,
4Y,Airbus France,France,
AG,Aruba Airlines,Aruba,
MC,Air Mobility Command,United States,United States Air Force
RE,Aer Arann,Ireland,
UU,Air Austral,France,
ZP,Amaszonas Paraguay,Paraguay,
6K,Asian Spirit,Philippines,
A5,Airlinair,France,
NZ,Air Nelson,New Zealand,defunct
QL,Aero Lanka,Sri Lanka,
R3,Armenian Airlines,Armenia,defunct
MV,Air Mediterranean,Greece,
2O,Air Salone,Sierra Leone,
U8,Armavia,Armenia,"defunct, ICAO code no longer allocated"
BQ,Aeromar Lineas Aereas Dominicanas,Dominican Republic,defunct
P5,AeroRepública,Colombia,
E4,Aero Asia International,Pakistan,defunct
BF,Aero-Service,Republic of the Congo,
5L,AeroSur,Bolivia,
EX,Air Santo Domingo,Dominican Republic,
JR,Aero California,Mexico,
Z3,Avient Aviation,Zimbabwe,
M3,Air Service,Macedonia,
8D*,Astair,Russian Federation,Name changed toInteravia Airlines
GM,Air Slovakia,Slovakia,ICAO code no longer allocated
R3,Aircompany Yakutia,Russia,
HC,Air Senegal,Senegal,
VW,Aeromar,Mexico,
JY,Air Turks and Caicos,Turks and Caicos Islands,ICAO code no longer allocated
CG,Airlines PNG,Papua New Guinea,
TY,Air Calédonie,France,
FL,AirTran Airways,United States,"defunct, last flight 12/30/2014, now part of Southwest Airlines"
TS,Air Transat,Canada,
EC,Avialeasing Aviation Company,Uzbekistan,
U7,Air Uganda,Uganda,
6U,Air Ukraine,Ukraine,
KO,Alaska Central Express,United States,
KH,Aloha Air Cargo,United States,
AQ,Aloha Airlines,United States,defunct; former IATA code: TS
AA,American Airlines,United States,
WD*,Amsterdam Airlines,Netherlands,Former IATA code: FH*. ICAO code and call sign no longer allocated
HO,Antinea Airlines,Algeria,defunct
OZ,Asiana Airlines,South Korea,
AG,ASL Airlines Ireland,Ireland,"Former IATA Code: AG; former names: Hunting Air Cargo Airlines, Air Contractors"
8V,Astral Aviation,Kenya,
XM,Australian airExpress,Australia,
AO,Australian Airlines,Australia,Subsidiary merged withQantas
XP,Avelo Airlines,United States,"Former ICAO code: CXP; former names: Casino Express Airlines, Xtra Airways"
VE,Avensa,Venezuela,defunct
6A,Aviacsa,Mexico,
AV,Avianca,Colombia,
A0,Avianca Argentina,Argentina,Owned bySynergy Group
O6,Avianca Brasil,Brazil,Owned bySynergy Group
2K,Avianca Ecuador,Ecuador,Aerolíneas Galápagos SA
V5,Avolar Aerolíneas,Mexico,defunct
AD,Azul Linhas Aéreas Brasileiras,Brazil,
CJ,BA CityFlyer,United Kingdom,
TH,BA Connect,United Kingdom,defunct
B4,BACH Flugbetriebsges,Austria,
J4,Badr Airlines,Sudan,
UP,Bahamasair,Bahamas,
8Q*,Baker Aviation,United States,
V9,BAL Bashkirian Airlines,Russia,
LZ,Balkan Bulgarian Airlines,Bulgaria,defunct
BQ,Baltia Air Lines,United States,"Callsign changed from ""BALTIA FLIGHT"" in 2015[14]"
QH,Bamboo Airways,Vietnam,
QO,Bar Harbor Airlines,United States,
B3,Bhutan Airlines,Bhutan,
L9,Belle Air Europe,Italy,PreviouslyBritannia Airways
BA,British Airways,United Kingdom,
BG,Biman Bangladesh Airlines,Bangladesh,
BO,Bluebird Nordic,Iceland,
BO,BB Airways,Nepal,
SI,Blue Islands,United Kingdom,
EO,British Caribbean Airways,United Kingdom,defunct
WX,CityJet,Ireland,
BZ,Blue Dart Aviation,India,
JA,B&H Airlines,Bosnia and Herzegovina,
J4,Buffalo Airways,Canada,
8H,BH Air,Bulgaria,
A8,Benin Golf Air,Benin,
U4,Buddha Air,Nepal,
UH,Bristow Helicopters,United Kingdom,
4T,Belair Airlines,Switzerland,
E6,Bringer Air Cargo Taxi Aéreo,Brazil,
BS,British International Helicopters,United Kingdom,
B4,Bankair,United States,
PG,Bangkok Airways,Thailand,
KF,Blue1,Finland,
JV,Bearskin Lake Air Service,Canada,
B3,Bellview Airlines,Nigeria,
BD,BMI,United Kingdom,defunct
BM,BMI Regional,United Kingdom,
WW,Bmibaby,United Kingdom,defunct
CH,Bemidji Airlines,United States,
5Z,Bismillah Airlines,Bangladesh,IATA code in use by another company
BN,Braniff International Airways,United States,defunct
AB,Bonza,Australia,
BO,Bouraq Indonesia Airlines,Indonesia,
BV,Blue Panorama Airlines,Italy,
7R,BRA-Transportes Aéreos,Brazil,
8E,Bering Air,United States,
TH,British Regional Airlines,United Kingdom,defunct
B2,BelaviaBelarusian Airlines,Belarus,
GQ,Big Sky Airlines,United States,
ID,Batik Air,Indonesia,
4B,Boutique Air,United States,
Y6,Batavia Air,Indonesia,"As of June 1, 2010, IATA code changed to Y6."
L9,Bristow U.S. LLC,United States,
1T,Bulgarian Air Charter,Bulgaria,
BU,Buryat Airlines Aircompany,Russia,
J8,Berjaya Air,Malaysia,
B3,"Bellview Airlines, Sierra Leone",Sierra Leone,
QW,Blue Wings,Germany,defunct
SN,Brussels Airlines,Belgium,defunct asBrussels International Airlinesin 2001
DB,Brit Air,France,
JD,Beijing Capital Airlines,China,
E9,Boston-Maine Airways,United States,Pan Am Clipper ConnectionPan Am III
SN,Brussels Airlines,Belgium,
NT,Binter Canarias,Spain,
0B,Blue Air,Romania,
KJ,British Mediterranean Airways,United Kingdom,defunct
FB,Bulgaria Air,Bulgaria,
8N,Barents AirLink,Sweden,previously Nordkalottflyg
OB,Boliviana de Aviación,Bolivia,
YB,Borajet,Turkey,
MX,Breeze Airways,United States,
VL,City Airlines,Germany,LH subsidiary Allocated in 2023[15]
4A,California Pacific Airlines,United States,defunct
QC,Camair-Co,Cameroon,
KR,Cambodia Airways,Cambodia,
5C,Challenge Airlines IL,Israel,ex CAL-Cargo Air Lines
AW,CHC Airways,Netherlands,"formerly Schreiner Airways. ICAO code in use by another company, call sign no longer allocated"
3C,Calima Aviación,Spain,
MO,Calm Air,Canada,
R9,Camai Air,United States,Village Aviation
K6,Cambodia Angkor Air,Cambodia,
UY,Cameroon Airlines,Cameroon,defunct
C6,CanJet,Canada,
CP,Canadian Airlines,Canada,defunct
7F,Canadian North,Canada,Air Norterra
CP,Canadian Pacific Airlines,Canada,ICAO Code and callsign no longer allocated
W2,Canadian Western Airlines,Canada,
9K,Cape Air,United States,
PT,Capital Cargo International Airlines,United States,Allocation deleted 2013
GG,Cargo 360,United States,
P3,Cargo Logic Air,United Kingdom,
2G,Cargoitalia,Italy,
W8,Cargojet Airways,Canada,
CV,Cargolux,Luxembourg,
C8,Cargolux Italia,Italy,
BW,Caribbean Airlines,Trinidad and Tobago,
8B,Caribbean Star Airlines,Antigua and Barbuda,
V3,Carpatair,Romania,
RV,Caspian Airlines,Iran,
KA,Cathay Dragon,Hong Kong,defunct
CX,Cathay Pacific,Hong Kong,
KX,Cayman Airways,Cayman Islands,
5J,Cebu Pacific,Philippines,
2C,CMA-CGM AIRCARGO,France,
9M,Central Mountain Air,Canada,
J7,Centre-Avia,Russia,
WE,Centurion Air Cargo,United States,
GM,Chair Airlines,Switzerland,
OP,Chalk's International Airlines,United States,
MG,Champion Air,United States,
2Z,Chang An Airlines,China,
S8,Chari Aviation Services,Chad,
RP*,Chautauqua Airlines,United States,Was US*
C8,Chicago Jet Group,United States,
CI,China Airlines,Taiwan,
CK,China Cargo Airlines,China,
MU,China Eastern Airlines,China,
G5,China Express Airlines,China,
CJ,China Northern Airlines,China,defunct.
WH,China Northwest Airlines,China,defunct
8Y,China Postal Airlines,China,
CZ,China Southern Airlines,China,
KN,China United Airlines,China,
XO,China Xinhua Airlines,China,
3Q,China Yunnan Airlines,China,defunct
X7,Chitaavia,Russia,
OQ,Chongqing Airlines,China,
A2,Cielos Airlines,Peru,
QI,Cimber Sterling,Denmark,
C7,Cinnamon Air,Sri Lanka,
C9,Cirrus Airlines,Germany,defunct
G3,City Connexion Airlines,Burundi,defunct
WX,CityJet,Ireland,
CJ,CityFlyer Express,United Kingdom,"Defunct, ICAO code in use byBA CityFlyer"
CT,Civil Air Transport,Taiwan,defunct
6P,Club Air,Italy,
BX,Coast Air,Norway,
DQ,Coastal Air,United States,
9L,Colgan Air,United States,
YD,Cologne Air Transport GmbH,Germany,defunct since 1996
OH,Comair,United States,
MN,Comair,South Africa,
C5,CommutAir,United States,
KR,Comores Airlines,Comoros,
CP,Compass Airlines,United States,
DE,Condor Flugdienst,Germany,
CO,Continental Airlines,United States,"ICAO Code and callsign withdrawn, merged withUnited Airlines"
CO,Continental Express,United States,
CS,Continental Micronesia,United States,
CS,Cambrian Airways,United Kingdom,defunct 1974
V0,Conviasa,Venezuela,
CM,Copa Airlines,Panama,
CQ,Central Charter,Czech Republic,
XC,Corendon Airlines,Turkey,Turistik Hava Tasimacilik
CD,Corendon Dutch Airlines,Netherlands,
LF,Contour Airlines,United States,
SS,Corsairfly,France,
XK,Corse Méditerranée,France,Name changed toAir Corsica
F5,Cosmic Air,Nepal,
GW,Costa Rica Green Airways,Costa Rica,
7C,Coyne Aviation,United Kingdom,
OU,Croatia Airlines,Croatia,
QE,Crossair Europe,Switzerland,
CU,Cubana de Aviación,Cuba,
CY,Cyprus Airways,Cyprus,
YK,Cyprus Turkish Airlines,Turkey,Ceased operations 2010
OK,Czech Airlines,Czech Republic,
8L,Cargo Plus Aviation,United Arab Emirates,
5Z,CemAir,South Africa,
XG,Clickair,Spain,Merge intoVueling
PN,West Air (China),China,
V5,DanubeWings,Slovakia,Former names VIP Air and VIP Wings
WD,DAS Air Cargo,Uganda,
DX,DAT Danish Air Transport,Denmark,
D0,DHL Air Limited,United Kingdom,DHL Air UK
ES,DHL International,Bahrain,
L3,DHL de Guatemala,Guatemala,
D3,Daallo Airlines,Djibouti,
N2,Dagestan Airlines,Russia,
CA,Dalian Airlines,China,
H8,Dalavia,Russia,
DD,Danish Air Lines,Denmark,defunct
0D,Darwin Airline,Switzerland,
D5,Dauair,Germany,
DL,Delta Air Lines,United States,
J7,Denim Air,Netherlands,Defunct
2A,Deutsche Bahn,Germany,
1I,Deutsche Rettungsflugwacht,Germany,
AW,Dirgantara Air Service,Indonesia,
DH,Discovery Airways,United States,
Z6,Dniproavia,Ukraine,
YU,Dominair,Dominican Republic,"defunct; former IATA code: SS; former name: Aerolíneas Dominicanas, ICAO code no longer allocated"
DO,Dominicana de Aviación,Dominican Republic,defunct
E3,Domodedovo Airlines,Russia,defunct
D9,Donavia,Russia,formerly Aeroflot-Don
5D,DonbassAero,Ukraine,
DZ,Donghai Airlines,China,
KB,Druk Air,Bhutan,
DI,Dba,Germany,Merged into Air Berlin
MQ,Envoy Air,United States,2014[22]
EL,Ellinair,Greece,
9E,Endeavor Air,United States,
E1,Everbread,United Kingdom,
1C,Electronic Data Systems,Switzerland,
1Y,Electronic Data Systems,United States,
VE,EUjet,Ireland,defunct
H7,Eagle Air,Uganda,
NZ,Eagle Airways,New Zealand,
9A,Eagle Express Air Charter,Malaysia,
S9,East African Safari Air,Kenya,
ZE,Eastar Jet,South Korea,
EA,Eastern Air Lines,United States,defunct
T3,Eastern Airways,United Kingdom,
QF,Eastern Australia Airlines,Australia,IATA dupe with parent QANTAS. Also uses 2 letter ICAO EA.
DK,Eastland Air,Australia,
W9,Eastwind Airlines,United States,defunct
EC,easyJet Europe,Austria,
DS,easyJet Switzerland,Switzerland,
U2,easyJet UK,United Kingdom,
WK,Edelweiss Air,Switzerland,
MS,Egyptair,Egypt,
LY,El Al Israel Airlines,Israel,
UZ,El-Buraq Air Transport,Libya,
EA,Emerald Airlines,Ireland,
EK,Emirates Airlines,United Arab Emirates,
EM,Empire Airlines,United States,
EU,Empresa Ecuatoriana De Aviación,Ecuador,
G8,EnkorJSC,Russia,
OF,Enter Air,Poland,
E0,Eos Airlines,United States,
B8,Eritrean Airlines,Eritrea,
E7,Estafeta Carga Aérea,Mexico,
OV,Estonian Air,Estonia,
ET,Ethiopian Airlines,Ethiopia,
EY,Etihad Airways,United Arab Emirates,
RZ,Euro Exec Express,Sweden,
MM,EuroAtlantic Airways,Portugal,
UI,Eurocypria Airlines,Cyprus,
GJ,Eurofly,Italy,
K2,Eurolot,Poland,
3W,Euromanx Airways,Austria,
5O,Europe Airpost,France,
EA,European Air Express,Germany,
QY,European Air Transport,Belgium,
E7,European Aviation Air Charter,United Kingdom,
EW,Eurowings,Germany,
4Y,Eurowings Discover,Germany,
E6,Eurowings Europe,Malta,
BR,EVA Air,Taiwan,
EZ,Evergreen International Airlines,United States,
ZD,Ewa Air,France,
JN,Excel Airways,United Kingdom,
MB,Execair Aviation,Canada,
OW,Executive Airlines,United States,American Eagle
EO,Express One International,United States,defunct
EV,ExpressJet,United States,
8K,Exploits Valley Air Services,Canada,
IH,Falcon Aviation,Sweden,
FE,Far Eastern Air Transport,Taiwan,
FD,Royal Flying Doctor Service,Australia,
F6,FaroeJet,Faroe Islands,
F3,Faso Airways,Burkina Faso,
FX,FedEx Express,United States,
N8,Fika Salaama Airlines,Uganda,
4S,Finalair Congo,Republic of the Congo,
AY,Finnair,Finland,
FC,Finncomm Airlines,Finland,
FY,Firefly,Malaysia,
7F,First Air,Canada,
8F,Fischer Air,Czech Republic,
8D,FitsAir,Sri Lanka,
F8,Flair Airlines,Canada,
B5,Flightline,United Kingdom,defunct
PA,Florida Coastal Airlines,United States,
RF,Florida West International Airways,United States,"merged intoAtlas Air Worldwide Holdings; defunct as of 28 February 2017, IATA code now allocated to another user"
F2,Fly Air,Turkey,
8W,Fly All Ways,Suriname,
G6,Fly Arna,Armenia,
9Y,Fly Georgia,Georgia,
OJ,Fly Jamaica Airways,Jamaica,defunct
9P,Fly Jinnah,Pakistan,
SH,Fly Me Sweden,Sweden,
FP,Fly Pro,Moldova,
6P,Fly Wex,Italy,
F6,Fly2Sky,Bulgaria,
D7,FlyAsianXpress,Malaysia,
F7,Flybaboo,Switzerland,
BE,Flybe,United Kingdom,
FO,Flybondi,Argentina,
FT,FlyEgypt,Egypt,
Y2,Flyglobespan,United Kingdom,defunct
SX,FlyGTA Airlines,Canada,
W3,Flyhy Cargo Airlines,Thailand,
TE,FlyLal,Lithuania,defunct
XY,Flynas,Saudi Arabia,
LF,FlyNordic,Sweden,defunct
FP,FlyPelican,Australia,Pelican Airlines Pty Ltd since 1 June 2015
FS,Flyr,Norway,
VK,FlyViking,Norway,defunct
VY,Formosa Airlines,Taiwan,defunct
BN,Forward Air International Airlines,United States,
5F,FlyOne,Moldova,Allocated in 2016
